,primary_photo,source,tags,list_date,price_reduced_amount,matterport,state,city,year_built,baths_3qtr,sold_price,baths_full,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,brand_name
6528,{'href': 'https://ap.rdcpix.com/26a054575a637ebe6c3b1f058b89314dl-b2009256443s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories",2023-09-13T23:56:07.000000Z,,False,Rhode Island,Providence,1839.0,0.0,305000.0,1.0,0.0,4639.0,1121.0,1.0,other,0,0.0,2.0,4.0,single_family,essentials
6529,{'href': 'https://ap.rdcpix.com/f4640bdd70ad4fa4ae90ad4ab70b8121l-b1370227081s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, updated_kitchen, medicalcare",2023-11-07T16:37:26.000000Z,,False,Rhode Island,Providence,1930.0,0.0,315000.0,1.0,0.0,3049.0,1440.0,1.0,other,0,0.0,2.0,3.0,single_family,advantage_brand
6530,{'href': 'https://ap.rdcpix.com/ebe16c9fd558190d4972ca0e8bf42822l-m2748201664s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, high_ceiling, rental_property",2023-11-17T00:43:26.000000Z,,False,Rhode Island,Providence,1920.0,0.0,320000.0,2.0,0.0,4857.0,2062.0,2.0,other,0,2.0,2.0,6.0,single_family,basic_opt_in
6531,{'href': 'https://ap.rdcpix.com/9e3c0fd27294d2f1ad0eb274736f8541l-m381499327s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","community_security_features, fireplace, forced_air, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, updated_kitchen, modern_kitchen, open_kitchen, fenced_yard, furniture",2023-10-20T04:44:57.000000Z,,False,Rhode Island,Providence,1950.0,0.0,599000.0,1.0,1.0,10001.0,2450.0,2.0,other,0,2.0,2.0,4.0,single_family,essentials
6532,{'href': 'https://ap.rdcpix.com/7682b39bed88a4f3a12ff9415c572ba7l-m3700714347s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","community_security_features, forced_air, basement, two_or_more_stories, master_bedroom, rental_property, shopping",2023-10-21T04:07:47.000000Z,,False,Rhode Island,Providence,1930.0,0.0,340000.0,2.0,0.0,3049.0,2439.0,2.0,other,0,0.0,2.0,3.0,single_family,essentials
6533,{'href': 'https://ap.rdcpix.com/142eb70fa1e810e3eba3c18f6a2e45f1l-m2090549363s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","forced_air, washer_dryer, basement, two_or_more_stories, updated_kitchen, fenced_yard, investment_opportunity",2023-11-09T23:40:27.000000Z,,False,Rhode Island,Providence,1988.0,0.0,450000.0,2.0,2.0,3485.0,3456.0,4.0,other,0,0.0,2.0,4.0,multi_family,essentials
6534,{'href': 'https://ap.rdcpix.com/a12455c7a941dddbe98cc62bff64ab81l-m2478156819s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","fireplace, basement, garage_1_or_more, shopping",2023-09-28T10:03:22.000000Z,,False,Rhode Island,Providence,1920.0,0.0,431000.0,2.0,0.0,5000.0,1574.0,2.0,other,0,1.0,0.0,3.0,single_family,basic_opt_in
6535,{'href': 'https://ap.rdcpix.com/35f1fcc66d64eeb63814d790fe81f55dl-m1981287432s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': None}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, garage_3_or_more",2023-12-21T05:31:26.000000Z,,False,Rhode Island,Providence,1930.0,0.0,280000.0,1.0,1.0,3202.0,2101.0,2.0,other,0,5.0,2.0,3.0,single_family,basic_opt_in
6536,{'href': 'https://ap.rdcpix.com/8d2169bbb9d64e29e61596158a09c39al-m560145687s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'Greenwich Bay Realty, LLC'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","forced_air, basement, two_or_more_stories, garage_1_or_more",2023-12-04T15:49:25.000000Z,,False,Rhode Island,Providence,1930.0,0.0,300000.0,1.0,0.0,2853.0,1272.0,1.0,other,0,1.0,2.0,3.0,single_family,basic_opt_in
6537,{'href': 'https://ap.rdcpix.com/bc0012fc4b3204de36076813e5bcd521l-m4287932034s-w1024_h768.jpg'},"{'plan_id': None, 'agents': [{'office_name': 'BHHS Commonwealth Real Estate'}, {'office_name': None}], 'spec_id': None, 'type': 'mls'}","basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, efficient",2023-09-25T12:14:06.000000Z,5100.0,False,Rhode Island,Providence,1920.0,0.0,590000.0,3.0,0.0,3202.0,3201.0,3.0,other,0,2.0,3.0,6.0,multi_family,essentials
