list_date,price_reduced_amount,state,city,postal_code,year_built,baths_3qtr,sold_price,baths_full,baths_half,lot_sqft,sqft,baths,sub_type,garage,stories,beds,type,brand_name,basement,big_bathroom,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,clubhouse,community_clubhouse,community_golf,community_gym,community_outdoor_space,community_park,community_security_features,community_spa_or_hot_tub,community_swimming_pool,community_tennis_court,corner_lot,cul_de_sac,den_or_office,dining_room,disability_features,dishwasher,elevator,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,fixer_upper,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,gated_community,golf_course,gourmet_kitchen,granite_kitchen,groundscare,hardwood_floors,high_ceiling,hill_or_mountain_view,hoa,investment_opportunity,lake,large_kitchen,laundry_room,library,maintenance,master_bedroom,master_suite,medicalcare,modern_kitchen,mountain_view,new_roof,no_hoa,open_floor_plan,open_kitchen,park,pets_allowed,playground,private_backyard,ranch,recreation_facilities,rental_property,river_view,rv_or_boat_parking,security,senior_community,shopping,single_story,solar_system,spa_or_hot_tub,swimming_pool,tennis,trails,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,washer_dryer,water_view,waterfront,agent,mls,has_primary_photo,american_indian_and_alaska_native,asian,black_or_african-american,hispanic_or_latino,white,median_age,male_population,female_population,total_population,number_of_veterans,foreign-born,average_household_size,costoflivingindex2023,costoflivingindexgrocerycostsindex,costoflivingindexhousingcostsindex,costoflivingindexutilitycostsindex,cost_of_living_overall,cost_of_living_grocery,cost_of_living_utility,cost_of_living_housing,Region,Division,Mean,Median,Stdev
12-01-2023,30100.0,Virginia,Richmond,23220,1948.0,0.0,525000.0,4.0,0.0,6534.0,2016.0,4.0,other,0.0,2.0,4.0,single_family,basic_opt_in,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,4902.0,6626.0,109722.0,14259.0,104568.0,33.6,104793.0,115496.0,220289.0,12538.0,15741.0,2.29,103.1,100.6,107.7,103.6,Average,Average,Average,Average,South,South Atlantic,38044.0,22944.8,40865.8
10-23-2023,,Washington,Olympia,98501,2000.0,0.0,709900.0,2.0,0.0,10001.0,2162.0,2.0,other,2.0,1.0,3.0,single_family,advantage_brand,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,53494.0,46045.2,39938.2
12-07-2023,,Washington,Olympia,98502,2017.0,0.0,575000.0,2.0,1.0,5237.0,2448.0,3.0,other,2.0,2.0,4.0,single_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,93946.66666666667,161286.0,50483.0
10-04-2023,,Washington,Olympia,98502,,0.0,243000.0,0.0,0.0,986198.0,,0.0,other,0.0,0.0,0.0,land,essentials,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,93946.66666666667,161286.0,50483.0
09-28-2023,,Washington,Olympia,98512,1992.0,2.0,667500.0,1.0,0.0,74488.0,3040.0,3.0,other,6.0,2.0,3.0,single_family,advantage_brand,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,64951.0,56503.0,47258.0
07-07-2023,10000.0,Washington,Olympia,98513,2009.0,0.0,539900.0,2.0,1.0,5764.0,3022.0,3.0,other,2.0,2.0,4.0,single_family,basic_opt_in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,65210.0,60216.0,45713.0
12-02-2023,,Washington,Olympia,98506,2006.0,0.0,530000.0,2.0,1.0,5760.0,2277.0,3.0,other,2.0,2.0,4.0,single_family,essentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,57646.5,50138.0,41877.5
12-01-2023,5000.0,Washington,Olympia,98506,1993.0,1.0,515000.0,1.0,0.0,6500.0,1658.0,2.0,other,2.0,1.0,3.0,single_family,essentials,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,57646.5,50138.0,41877.5
10-27-2023,6000.0,Washington,Olympia,98513,1985.0,2.0,417500.0,0.0,0.0,12053.0,1190.0,2.0,other,2.0,1.0,3.0,single_family,essentials,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,65210.0,60216.0,45713.0
08-04-2023,400.0,Washington,Olympia,98512,2019.0,1.0,485000.0,1.0,0.0,12009.0,1840.0,2.0,other,2.0,1.0,3.0,single_family,essentials,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,,,,,,,,,,,,,115.1,109.7,129.4,92.2,Average,Average,Low,High,West,Pacific,64951.0,56503.0,47258.0
