sold_price,sqft,baths,price_reduced_amount,Stdev,Mean,waterfront,garage,cost_of_living_housing,total_population_category,cost_of_living_grocery
2.547453180483902,2.116149661334103,2.0,0.0,55875.0,91146.75,0,2.0,1,2,1
2.5169517704187476,2.1086433659070596,2.0,2.1979688386872795,22159.0,32307.0,0,1.0,1,2,1
2.556024721719396,2.155241690146738,2.0,0.0,37301.4,54429.2,0,0.0,1,2,1
2.4917298134217796,2.1123352415059933,2.0,2.313039352423886,22159.0,32307.0,0,0.0,1,2,1
2.5678420857203164,2.139868011014421,2.0,2.2531209847743163,43379.0,51585.0,0,0.0,1,2,1
2.5726670138524446,2.115986597024682,2.0,0.0,55875.0,91146.75,0,0.0,1,2,1
2.6003492269397652,2.1452062093277746,2.0,2.253141992408963,55875.0,91146.75,0,0.0,1,2,1
2.48508300987998,2.134382067413362,2.0,0.0,36410.5,68415.5,0,0.0,1,2,1
2.56315280389369,2.1282328388441845,2.0,0.0,37301.4,54429.2,0,2.0,1,2,1
2.6361682659723726,2.209781638184518,3.0,0.0,35790.333333333336,34417.166666666664,0,0.0,1,2,1
2.5532974946595286,2.1238506452602817,2.0,0.0,55875.0,91146.75,0,0.0,1,2,1
2.558600813819311,2.1353390986549807,1.0,0.0,37301.4,54429.2,0,0.0,1,2,1
2.460822268062392,2.1125039235077128,1.0,0.0,37761.97916666666,53676.48958333333,0,0.0,1,2,1
2.613324109517734,2.159432931766962,2.0,2.3234107621942104,55875.0,91146.75,0,2.0,1,2,1
2.5570873533924794,2.129318786658012,2.0,0.0,47396.0,49006.5,0,0.0,1,2,1
2.5787581879384502,2.1662302940684532,2.0,0.0,36410.5,68415.5,0,2.0,1,2,1
2.5510390186402376,2.1364223428285634,2.0,0.0,36410.5,68415.5,0,2.0,1,2,1
2.4299024936038958,2.062932825955494,1.0,0.0,47396.0,49006.5,0,0.0,1,2,1
2.571813777729968,2.145453759737322,2.0,2.2531209847743163,37301.4,54429.2,0,0.0,1,2,1
2.5694130964877173,2.1327907653883673,2.0,0.0,37301.4,54429.2,0,0.0,1,2,1
2.558652438006258,2.1417417768501896,2.0,0.0,36410.5,68415.5,0,2.0,1,2,1
2.5682944945824913,2.2013158381130795,3.0,2.3890872825709972,36410.5,68415.5,0,0.0,1,2,1
2.544438676214117,2.1078544392506733,1.0,0.0,37301.4,54429.2,0,0.0,1,2,1
2.5645922003835384,2.121007782628919,2.0,0.0,55875.0,91146.75,0,0.0,1,2,1
2.5352111155194104,2.0884535488481344,2.0,0.0,22159.0,32307.0,0,0.0,1,2,1
2.4891398337304267,2.0996328668112922,1.0,0.0,22159.0,32307.0,0,1.0,1,2,1
2.531408786275378,2.1704436604573605,2.0,0.0,47396.0,49006.5,0,0.0,1,2,1
2.5959274336964664,2.135746617737867,2.0,0.0,55875.0,91146.75,0,2.0,1,2,1
2.613324109517734,2.2029129161604684,3.0,2.36543404545353,55875.0,91146.75,0,0.0,1,2,1
2.526762946426977,2.1155778514199564,1.0,2.3000563597136088,37301.4,54429.2,0,0.0,1,2,1
2.5234116973260523,2.0907411873032014,2.0,0.0,55875.0,91146.75,0,0.0,1,2,1
2.6271787703047464,2.2415891730754063,4.0,0.0,47396.0,49006.5,0,2.0,1,2,1
2.6156482775346257,2.176980633609261,2.0,0.0,55875.0,91146.75,1,2.0,1,2,1
2.541228329571344,2.13608502057231,2.0,1.7254630513334037,36410.5,68415.5,0,0.0,1,2,1
2.6066231031218963,2.1558589033661346,2.0,0.0,55875.0,91146.75,0,2.0,1,2,1
2.607013070390419,2.1588910443680636,2.0,0.0,55875.0,91146.75,0,0.0,1,2,1
2.56363582933001,2.115904972063651,2.0,0.0,37301.4,54429.2,0,0.0,1,2,1
2.63865045975338,2.1998017740341127,4.0,2.2551990897110383,55875.0,91146.75,0,2.0,1,2,1
2.495759820891769,2.1800320712410874,2.0,0.0,36410.5,68415.5,0,0.0,1,2,1
2.6290792285747764,2.2080918524847233,4.0,2.3234107621942104,55875.0,91146.75,0,2.0,1,2,1
2.5532418846364395,2.1179272289544824,2.0,0.0,37301.4,54429.2,0,0.0,1,2,1
2.5378703231331703,2.1650086701174494,2.0,0.0,43379.0,51585.0,0,0.0,1,2,1
2.5534457639178783,2.1634609679687555,3.0,0.0,47396.0,49006.5,0,0.0,1,2,1
2.5696347219638778,2.0956714746807417,2.0,0.0,36410.5,68415.5,0,0.0,1,2,1
2.5861385010981603,2.1459471123541936,2.0,2.3234107621942104,37301.4,54429.2,0,0.0,1,2,1
2.5641156142347974,2.098679831078209,2.0,0.0,38611.333333333336,35671.666666666664,0,0.0,1,2,1
2.62412295331345,2.1564724676880376,2.0,2.328177375852995,49252.0,67466.0,0,2.0,1,2,1
2.5825451877824173,2.141549479858945,2.0,0.0,49252.0,67466.0,0,0.0,1,2,1
2.5645922003835384,2.1135105129747083,2.0,2.2509964439314443,38611.333333333336,35671.666666666664,0,0.0,1,2,1
2.7062161977774024,2.2274455356609293,5.0,0.0,72709.0,105338.75,0,3.0,1,2,1
2.5895564223493652,2.1280872043879997,3.0,0.0,48270.13148148148,61887.30185185185,0,2.0,1,2,1
2.5378703231331703,2.0316575757121003,1.0,2.3234107621942104,38611.333333333336,35671.666666666664,0,0.0,1,2,1
2.4891398337304267,2.162100566984116,2.0,0.0,38611.333333333336,35671.666666666664,0,3.0,1,2,1
2.5504632044910513,2.0820735703874895,1.0,2.2294012669472845,38611.333333333336,35671.666666666664,0,0.0,1,2,1
2.558652438006258,2.1083810284369293,2.0,0.0,26514.0,33569.0,0,2.0,1,2,1
